einzelbeleg.ID;einzelbeleg.Belegform;mgh_lemma.ID;mgh_lemma.MGHLemma;
\N;\N;13760;Amormuni;amormuni
96738;Amormuni;15896;amormuni;
96739;Amormuni;15896;amormuni;
96752;Amormuni;15896;amormuni;
99326;Amormumoli;15896;amormuni;
\N;\N;11020;Anxiander;anxiander
65086;Anxiander;15897;anxiander;
\N;\N;11064;Anxiardis;anxiardis
65320;Anxiardis;15898;anxiardis;
\N;\N;11547;Arsenius;arsenius
67359;Arse[...]us;15899;arsenius;
2255;Augustinus;7323;augustīnus;
2282;Augustinus;7323;augustīnus;
27833;Augustinus;7323;augustīnus;
29926;Augustinus;7323;augustīnus;
80755;Augustini;7323;augustīnus;
80792;Agustini;7323;augustīnus;
80793;Agustini;7323;augustīnus;
80794;Agustini;7323;augustīnus;
84505;Agustinus;7323;augustīnus;
87849;Augustino;7323;augustīnus;
88070;Augustinus;7323;augustīnus;
88082;Augustino;7323;augustīnus;
99824;Augustini;7323;augustīnus;
99826;Augustini;7323;augustīnus;
100208;Augustini;7323;augustīnus;
100845;Augustini;7323;augustīnus;
103253;Augustino;7323;augustīnus;
103257;Augustinus;7323;augustīnus;
104228;Augustinus;7323;augustīnus;
104230;Augustinus;7323;augustīnus;
105140;Augustinus;7323;augustīnus;
105336;Augustinus;7323;augustīnus;
\N;\N;15428;augustinus;augustīnus
\N;\N;14320;barosulus;barōsulus
102401;Barosulo;16379;barōsulus;
1446;Bonifacius;7198;bonifātius;
2073;Bonifacio;7198;bonifātius;
2304;Bonifacius;7198;bonifātius;
2318;Bonifacius;7198;bonifātius;
2436;Bonefacius;7198;bonifātius;
2456;Bonifacius;7198;bonifātius;
2475;Bonefacius;7198;bonifātius;
2490;Bonifacius;7198;bonifātius;
2737;Bonifacii;7198;bonifātius;
2747;Bonefacius;7198;bonifātius;
2805;Bonefacius;7198;bonifātius;
3164;Bonifacius;7198;bonifātius;
3165;Bonifacius;7198;bonifātius;
3669;Bonifacius;7198;bonifātius;
3690;Bonifacio;7198;bonifātius;
3691;Bonifacius;7198;bonifātius;
24924;Bonifatium;7198;bonifātius;
25533;Bonif[atius];7198;bonifātius;
25673;Bonifatius;7198;bonifātius;
25678;Bonifatius;7198;bonifātius;
25685;Bonifati;7198;bonifātius;
25773;Bon[ifa]cio;7198;bonifātius;
26075;Bonifatium;7198;bonifātius;
26079;Bonifatio;7198;bonifātius;
26088;Bonifatius;7198;bonifātius;
26115;Bonifatius;7198;bonifātius;
26206;Bonifatius;7198;bonifātius;
26237;Bonifatius;7198;bonifātius;
26238;Bonifatius;7198;bonifātius;
26542;Bonifatio;7198;bonifātius;
26799;Bonifatio;7198;bonifātius;
26802;Bonifatii;7198;bonifātius;
28442;Bonefatius;7198;bonifātius;
28540;Bonefatius;7198;bonifātius;
30042;Bonefatius;7198;bonifātius;
34334;Bonefatius;7198;bonifātius;
34335;Bonefatius;7198;bonifātius;
34342;Bonefacius;7198;bonifātius;
34556;Bonefacii;7198;bonifātius;
34709;Bonefacii;7198;bonifātius;
34944;Bonefacio;7198;bonifātius;
35327;Bonefacius;7198;bonifātius;
35335;Bonefacius;7198;bonifātius;
35561;Bonifacius;7198;bonifātius;
35564;Bonifacius;7198;bonifātius;
35639;Bonefacius;7198;bonifātius;
35642;Bonefatii;7198;bonifātius;
35737;Bonifacius;7198;bonifātius;
35738;Bonifacii;7198;bonifātius;
35739;Bonifacii;7198;bonifātius;
35747;Bonifacii;7198;bonifātius;
35811;Bonifacii;7198;bonifātius;
35812;Bonifacius;7198;bonifātius;
35816;Bonifacii;7198;bonifātius;
35817;Bonifacii;7198;bonifātius;
35961;Bonifacius;7198;bonifātius;
35963;Bonifacii;7198;bonifātius;
36064;Bonifacius;7198;bonifātius;
36066;Bonifacii;7198;bonifātius;
36671;Bonifatius;7198;bonifātius;
37065;Bonefacio;7198;bonifātius;
37450;Bonefacii;7198;bonifātius;
37505;Bonefacio;7198;bonifātius;
38414;Bonifati[i];7198;bonifātius;
38415;Bonifatius;7198;bonifātius;
38426;Bonifatii;7198;bonifātius;
38451;Bonifatius;7198;bonifātius;
38481;Bonifatii;7198;bonifātius;
38492;Bonifatius;7198;bonifātius;
38500;Bonifatii;7198;bonifātius;
38559;Bonifatius;7198;bonifātius;
38576;Bonifatio;7198;bonifātius;
38592;Bonifatii;7198;bonifātius;
38618;Bonifatius;7198;bonifātius;
38636;Bonifatii;7198;bonifātius;
38640;Bonifatii;7198;bonifātius;
38660;Bonifatii;7198;bonifātius;
38665;Bonifatii;7198;bonifātius;
38666;Bonifatii;7198;bonifātius;
38689;Bonifatius;7198;bonifātius;
38699;Bonifatius;7198;bonifātius;
38712;Bonifa[t]ius;7198;bonifātius;
38717;Bonifatii;7198;bonifātius;
38727;Bonifatii;7198;bonifātius;
38728;Bonifatii;7198;bonifātius;
38734;Bonifatii;7198;bonifātius;
38758;Bonifa[t]ii;7198;bonifātius;
38805;Bonifatii;7198;bonifātius;
38820;Bonifatii;7198;bonifātius;
38840;Boni[fa]tii;7198;bonifātius;
38841;Bonifatius;7198;bonifātius;
38842;Bonifatii;7198;bonifātius;
38853;Bonifatii;7198;bonifātius;
38854;Bonifatius;7198;bonifātius;
38874;Bonifatium;7198;bonifātius;
38876;Bonifatio;7198;bonifātius;
38941;Bonifatius;7198;bonifātius;
38958;Bonifatius;7198;bonifātius;
38970;Bonifatii;7198;bonifātius;
38972;Bonifatii;7198;bonifātius;
38980;Bonifatii;7198;bonifātius;
38995;Bonifa[t]ii;7198;bonifātius;
38999;Bonifatii;7198;bonifātius;
39017;Bonifatii;7198;bonifātius;
39018;Bonifatii;7198;bonifātius;
39023;Bonifatii;7198;bonifātius;
39024;Bonifatii;7198;bonifātius;
39086;Bonifatii;7198;bonifātius;
39108;Bonifatii;7198;bonifātius;
39130;Bonifa[t]ii;7198;bonifātius;
39143;Bonifatius;7198;bonifātius;
39159;Bonifatii;7198;bonifātius;
39162;Bonifatii;7198;bonifātius;
39165;Bonifatii;7198;bonifātius;
39180;Bonifatii;7198;bonifātius;
39181;Bonifatius;7198;bonifātius;
39185;Bonifatii;7198;bonifātius;
39208;Bonifa[t]ium;7198;bonifātius;
39229;Bonifatii;7198;bonifātius;
39230;Bonifatius;7198;bonifātius;
39263;Bonifatii;7198;bonifātius;
39282;Bonifatii;7198;bonifātius;
39299;Bonifatii;7198;bonifātius;
39316;Bonifatii;7198;bonifātius;
39320;Bonifatii;7198;bonifātius;
39351;Bonifatii;7198;bonifātius;
39352;Bonifatii;7198;bonifātius;
39379;Bonifa[t]ii;7198;bonifātius;
39383;Bonifatii;7198;bonifātius;
39384;Bonifatii;7198;bonifātius;
39398;Bonifatii;7198;bonifātius;
39402;Bonifatii;7198;bonifātius;
39427;Bonifa[t]ii;7198;bonifātius;
39440;Bonifatii;7198;bonifātius;
39444;Bonifatii;7198;bonifātius;
39447;Bonifatii;7198;bonifātius;
39486;Bonifatii;7198;bonifātius;
39488;Bonifatii;7198;bonifātius;
39536;Bonifatium;7198;bonifātius;
39538;Bonifatium;7198;bonifātius;
39566;Bonifatii;7198;bonifātius;
39568;Bonifatii;7198;bonifātius;
39574;Bonifatii;7198;bonifātius;
39658;Bonifatii;7198;bonifātius;
39682;Bonifatii;7198;bonifātius;
39683;Bonifatius;7198;bonifātius;
39702;Bonifatii;7198;bonifātius;
39722;Bonifatii;7198;bonifātius;
39732;Bonifacio;7198;bonifātius;
39734;Bonifatii;7198;bonifātius;
39744;Bonifatium;7198;bonifātius;
39745;Bonifatii;7198;bonifātius;
39757;Bonifa[t]ii;7198;bonifātius;
39766;Bonifatii;7198;bonifātius;
39804;Bonifatius;7198;bonifātius;
39838;Bonifatius;7198;bonifātius;
39856;Bonifatii;7198;bonifātius;
39857;Bonifatius;7198;bonifātius;
39863;Bonifatii;7198;bonifātius;
39887;Bonifa[t]io;7198;bonifātius;
39903;Bonifatii;7198;bonifātius;
39921;Bonifatii;7198;bonifātius;
39924;Bonifatii;7198;bonifātius;
39938;Bonifatii;7198;bonifātius;
39952;Bonifa[t]ii;7198;bonifātius;
39957;Bonifatii;7198;bonifātius;
39981;Bonifa[t]ii;7198;bonifātius;
39987;Bonifa[t]ius;7198;bonifātius;
40071;Bonifa[t]ium;7198;bonifātius;
40076;Bonifatium;7198;bonifātius;
40129;Bonifa[t]ii;7198;bonifātius;
40193;Bonifatii;7198;bonifātius;
40222;Bonifatius;7198;bonifātius;
40239;Bonifa[t]io;7198;bonifātius;
40245;Bonifa[t]ium;7198;bonifātius;
40263;Bonifa[t]io;7198;bonifātius;
40300;Bonifa[t]io;7198;bonifātius;
40304;Bonifa[t]io;7198;bonifātius;
40321;Bonifa[t]io;7198;bonifātius;
40409;Bonifa[t]ium;7198;bonifātius;
40433;Bonifa[t]ium;7198;bonifātius;
40438;Bonifa[t]io;7198;bonifātius;
40459;Bonifa[t]ium;7198;bonifātius;
40462;Bonifa[t]ium;7198;bonifātius;
40483;Bonifa[t]ium;7198;bonifātius;
40499;Bonifatii;7198;bonifātius;
40517;Bonifatii;7198;bonifātius;
40540;Bonifa[t]ii;7198;bonifātius;
40561;Bonifatium;7198;bonifātius;
40568;Bonifatii;7198;bonifātius;
40608;Bonifa[t]ium;7198;bonifātius;
40616;Bonifa[t]ii;7198;bonifātius;
40624;Bonifa[t]ii;7198;bonifātius;
40626;Bonifa[t]io;7198;bonifātius;
40651;Bonifatium;7198;bonifātius;
40656;Bonifatium;7198;bonifātius;
40658;Bonifatium;7198;bonifātius;
40662;Bonifatio;7198;bonifātius;
40666;Bonifa[t]ium;7198;bonifātius;
40668;Bonifa[t]ium;7198;bonifātius;
40692;Bonifa[t]ium;7198;bonifātius;
40731;Bonifa[t]ium;7198;bonifātius;
40740;Bonifa[t]ium;7198;bonifātius;
40756;Bonifa[t]ium;7198;bonifātius;
40779;Bonifa[t]ii;7198;bonifātius;
40783;Bonifa[t]ium;7198;bonifātius;
40784;Bonifa[t]ium;7198;bonifātius;
40818;Bonifa[t]ii;7198;bonifātius;
40827;B[o]nifa[t]ii;7198;bonifātius;
40833;Bonifa[t]ium;7198;bonifātius;
40845;Bonifa[t]ium;7198;bonifātius;
40866;Bonifa[t]ium;7198;bonifātius;
40870;Bonifa[t]ium;7198;bonifātius;
40940;Bonifatii;7198;bonifātius;
40942;Bonifatius;7198;bonifātius;
40945;Bonifatii;7198;bonifātius;
40948;Bonifatii;7198;bonifātius;
40952;Bonifatii;7198;bonifātius;
40972;Bonifa[t]ius;7198;bonifātius;
40985;Bonifatii;7198;bonifātius;
40987;Bonifatii;7198;bonifātius;
41008;Bonifatii;7198;bonifātius;
41019;Bonifa[t]ium;7198;bonifātius;
41023;Bonifatii;7198;bonifātius;
41043;Bonifatii;7198;bonifātius;
41066;Bonifatii;7198;bonifātius;
41081;Bonifatii;7198;bonifātius;
41117;Bonifatii;7198;bonifātius;
41134;Bonifatii;7198;bonifātius;
41136;Bonifatius;7198;bonifātius;
41156;Bonifatii;7198;bonifātius;
41160;Bonifatium;7198;bonifātius;
41173;Bonifatii;7198;bonifātius;
41231;Bonifatii;7198;bonifātius;
41233;Bonifatii;7198;bonifātius;
41248;Bonifatium;7198;bonifātius;
41250;Bonifatii;7198;bonifātius;
41252;Bonifatii;7198;bonifātius;
41254;Bonifatii;7198;bonifātius;
41255;Bonifatium;7198;bonifātius;
41274;Bonifatii;7198;bonifātius;
41295;Bonifa[t]ius;7198;bonifātius;
41320;Bonifa[t]ii;7198;bonifātius;
41367;Bonifa[t]ium;7198;bonifātius;
41415;Bonifatii;7198;bonifātius;
41442;Bonifatii;7198;bonifātius;
41493;Bonifa[t]ium;7198;bonifātius;
41517;Bonifatii;7198;bonifātius;
41520;Bonifatium;7198;bonifātius;
41523;Bonifatium;7198;bonifātius;
41581;Bonifatii;7198;bonifātius;
41598;Bonifa[t]ium;7198;bonifātius;
41634;Bonifatii;7198;bonifātius;
